event-id,visible,timestamp,location-long,location-lat,comments,ground-speed,heading,height-above-ellipsoid,study-specific-measurement,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
5170988886,True,2009-03-12 05:11:00.000,15.0887833,11.1464667,day,0.044704,243.0,302.9712,4-26,0,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988887,True,2009-03-12 05:11:00.000,15.0887833,11.14645,day,0.625856,289.0,305.1048,6-3,1,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988888,True,2009-03-12 05:11:00.000,15.0887667,11.1464667,day,0.89408,304.0,305.1048,7-3,2,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988889,True,2009-03-12 05:11:00.000,15.08875,11.1464667,day,1.78816,306.0,306.0192,17-3,3,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988890,True,2009-03-12 05:11:00.000,15.0887,11.1465,day,0.89408,297.0,313.0296,9-3,4,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988891,True,2009-03-12 05:12:00.000,15.0886833,11.1465167,day,0.625856,289.0,313.944,6-3,5,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988892,True,2009-03-12 05:12:00.000,15.0886667,11.1465167,day,0.1341119999999999,270.0,314.8584,4-8,6,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988893,True,2009-03-12 05:12:00.000,15.0886667,11.1465167,day,0.402336,270.0,314.8584,4-3,7,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988894,True,2009-03-12 05:12:00.000,15.08865,11.1465167,day,0.581152,270.0,314.8584,6-3,8,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988895,True,2009-03-12 05:12:00.000,15.0886333,11.1465167,day,0.402336,270.0,314.8584,4-3,9,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988896,True,2009-03-12 05:12:00.000,15.0886167,11.1465167,day,0.44704,297.0,314.8584,4-3,10,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988897,True,2009-03-12 05:12:00.000,15.0886167,11.1465167,day,0.44704,297.0,314.8584,4-3,11,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988898,True,2009-03-12 05:12:00.000,15.0886,11.1465333,day,0.89408,270.0,314.8584,8-3,12,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988899,True,2009-03-12 05:12:00.000,15.0885833,11.1465333,day,0.625856,251.0,314.8584,6-3,13,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988900,True,2009-03-12 05:12:00.000,15.0885667,11.1465167,day,0.625856,289.0,314.8584,6-3,14,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
5170988901,True,2009-03-12 05:12:00.000,15.08855,11.1465333,day,0.178816,270.0,314.8584,4-6,15,gps,Bos taurus,cattle0120309day,cattle0120309day,"Daily grazing movements of cattle in the Far North Region, Cameroon"
